"","county","sale.dollars","Bachelor.s.degree.or.higher"
"1","Adair",20.7,0.195
"2","Adair",38.96,0.195
"3","Adair",10.35,0.195
"4","Adair",19.5,0.195
"5","Adair",11.25,0.195
"6","Adair",62.28,0.195
"7","Adair",37.5,0.195
"8","Adair",21.34,0.195
"9","Adair",20.25,0.195
"10","Adair",31.5,0.195
"11","Adair",9.74,0.195
"12","Adair",78,0.195
"13","Adair",10.49,0.195
"14","Adair",5.25,0.195
"15","Adair",31.05,0.195
"16","Adair",279,0.195
"17","Adair",124.2,0.195
"18","Adair",5.19,0.195
"19","Adair",19.48,0.195
"20","Adair",5.1,0.195
"21","Adair",3.36,0.195
"22","Adair",10.2,0.195
"23","Adair",135,0.195
"24","Adair",116.88,0.195
"25","Adair",18.75,0.195
"26","Adair",31.47,0.195
"27","Adair",20.4,0.195
"28","Adair",10.67,0.195
"29","Adair",0,0.195
"30","Adair",132,0.195
"31","Adair",225,0.195
"32","Adair",4.95,0.195
"33","Adair",75,0.195
"34","Adair",5.09,0.195
"35","Adams",37.49,0.173
"36","Adams",16.49,0.173
"37","Adams",8.07,0.173
"38","Adams",21.34,0.173
"39","Adams",19.5,0.173
"40","Adams",5.88,0.173
"41","Adams",15.74,0.173
"42","Adams",31.48,0.173
"43","Adams",9.74,0.173
"44","Adams",19.13,0.173
"45","Adams",20.25,0.173
"46","Adams",46.5,0.173
"47","Adams",66,0.173
"48","Adams",23.25,0.173
"49","Adams",62.28,0.173
"50","Adams",37.5,0.173
"51","Adams",10.67,0.173
"52","Adams",32.98,0.173
"53","Adams",19.35,0.173
"54","Adams",11.76,0.173
"55","Adams",6.45,0.173
"56","Adams",7.08,0.173
"57","Adams",17.64,0.173
"58","Adams",70.56,0.173
"59","Adams",4.95,0.173
"60","Adams",10.38,0.173
"61","Adams",14.16,0.173
"62","Adams",69.75,0.173
"63","Adams",8.13,0.173
"64","Adams",60.75,0.173
"65","Adams",39.75,0.173
"66","Adams",24.75,0.173
"67","Adams",18.75,0.173
"68","Adams",56.25,0.173
"69","Adams",94.44,0.173
"70","Adams",49.5,0.173
"71","Adams",10.49,0.173
"72","Adams",21.24,0.173
"73","Adams",96.84,0.173
"74","Allamakee",23.25,0.182
"75","Allamakee",5.1,0.182
"76","Allamakee",4.98,0.182
"77","Allamakee",8.13,0.182
"78","Allamakee",6.45,0.182
"79","Allamakee",9.74,0.182
"80","Allamakee",8.07,0.182
"81","Allamakee",29.22,0.182
"82","Allamakee",14.16,0.182
"83","Allamakee",20.25,0.182
"84","Allamakee",10.76,0.182
"85","Allamakee",10.67,0.182
"86","Allamakee",10.35,0.182
"87","Allamakee",18.75,0.182
"88","Allamakee",39.75,0.182
"89","Allamakee",19.5,0.182
"90","Allamakee",2.99,0.182
"91","Allamakee",12,0.182
"92","Allamakee",6.5,0.182
"93","Allamakee",11,0.182
"94","Allamakee",64.56,0.182
"95","Allamakee",16.14,0.182
"96","Allamakee",16.49,0.182
"97","Allamakee",40.5,0.182
"98","Allamakee",21,0.182
