"","county","sale.dollars","High.school.graduate.or.higher"
"1","Adair",20.7,0.95
"2","Adair",38.96,0.95
"3","Adair",10.35,0.95
"4","Adair",19.5,0.95
"5","Adair",11.25,0.95
"6","Adair",62.28,0.95
"7","Adair",37.5,0.95
"8","Adair",21.34,0.95
"9","Adair",20.25,0.95
"10","Adair",31.5,0.95
"11","Adair",9.74,0.95
"12","Adair",78,0.95
"13","Adair",10.49,0.95
"14","Adair",5.25,0.95
"15","Adair",31.05,0.95
"16","Adair",279,0.95
"17","Adair",124.2,0.95
"18","Adair",5.19,0.95
"19","Adair",19.48,0.95
"20","Adair",5.1,0.95
"21","Adair",3.36,0.95
"22","Adair",10.2,0.95
"23","Adair",135,0.95
"24","Adair",116.88,0.95
"25","Adair",18.75,0.95
"26","Adair",31.47,0.95
"27","Adair",20.4,0.95
"28","Adair",10.67,0.95
"29","Adair",0,0.95
"30","Adair",132,0.95
"31","Adair",225,0.95
"32","Adair",4.95,0.95
"33","Adair",75,0.95
"34","Adair",5.09,0.95
"35","Adams",37.49,0.933
"36","Adams",16.49,0.933
"37","Adams",8.07,0.933
"38","Adams",21.34,0.933
"39","Adams",19.5,0.933
"40","Adams",5.88,0.933
"41","Adams",15.74,0.933
"42","Adams",31.48,0.933
"43","Adams",9.74,0.933
"44","Adams",19.13,0.933
"45","Adams",20.25,0.933
"46","Adams",46.5,0.933
"47","Adams",66,0.933
"48","Adams",23.25,0.933
"49","Adams",62.28,0.933
"50","Adams",37.5,0.933
"51","Adams",10.67,0.933
"52","Adams",32.98,0.933
"53","Adams",19.35,0.933
"54","Adams",11.76,0.933
"55","Adams",6.45,0.933
"56","Adams",7.08,0.933
"57","Adams",17.64,0.933
"58","Adams",70.56,0.933
"59","Adams",4.95,0.933
"60","Adams",10.38,0.933
"61","Adams",14.16,0.933
"62","Adams",69.75,0.933
"63","Adams",8.13,0.933
"64","Adams",60.75,0.933
"65","Adams",39.75,0.933
"66","Adams",24.75,0.933
"67","Adams",18.75,0.933
"68","Adams",56.25,0.933
"69","Adams",94.44,0.933
"70","Adams",49.5,0.933
"71","Adams",10.49,0.933
"72","Adams",21.24,0.933
"73","Adams",96.84,0.933
"74","Allamakee",23.25,0.884
"75","Allamakee",5.1,0.884
"76","Allamakee",4.98,0.884
"77","Allamakee",8.13,0.884
"78","Allamakee",6.45,0.884
"79","Allamakee",9.74,0.884
"80","Allamakee",8.07,0.884
"81","Allamakee",29.22,0.884
"82","Allamakee",14.16,0.884
"83","Allamakee",20.25,0.884
"84","Allamakee",10.76,0.884
"85","Allamakee",10.67,0.884
"86","Allamakee",10.35,0.884
"87","Allamakee",18.75,0.884
"88","Allamakee",39.75,0.884
"89","Allamakee",19.5,0.884
"90","Allamakee",2.99,0.884
"91","Allamakee",12,0.884
"92","Allamakee",6.5,0.884
"93","Allamakee",11,0.884
"94","Allamakee",64.56,0.884
"95","Allamakee",16.14,0.884
"96","Allamakee",16.49,0.884
"97","Allamakee",40.5,0.884
"98","Allamakee",21,0.884
"99","Allamakee",37.49,0.884
"100","Allamakee",76.2,0.884
"101","Allamakee",12.7,0.884
"102","Allamakee",7.5,0.884
"103","Allamakee",7.08,0.884
"104","Allamakee",279,0.884
"105","Allamakee",4.73,0.884
"106","Allamakee",21.74,0.884
"107","Allamakee",77.4,0.884
"108","Allamakee",32.28,0.884
"109","Allamakee",96.84,0.884
"110","Allamakee",10.49,0.884
"111","Allamakee",20.36,0.884
"112","Allamakee",46.35,0.884
"113","Allamakee",6.35,0.884
"114","Allamakee",19.13,0.884
"115","Allamakee",5.09,0.884
"116","Allamakee",46.5,0.884
"117","Allamakee",49.47,0.884
"118","Allamakee",19.48,0.884
"119","Allamakee",84.24,0.884
"120","Allamakee",24.75,0.884
"121","Allamakee",56.76,0.884
"122","Allamakee",32.98,0.884
"123","Allamakee",69.75,0.884
"124","Allamakee",13,0.884
"125","Allamakee",10.2,0.884
"126","Allamakee",19.98,0.884
"127","Allamakee",11.25,0.884
"128","Allamakee",37.5,0.884
"129","Allamakee",116.88,0.884
"130","Allamakee",26.24,0.884
"131","Allamakee",24.21,0.884
"132","Allamakee",20.98,0.884
"133","Allamakee",39,0.884
"134","Allamakee",107.94,0.884
"135","Allamakee",13.5,0.884
"136","Allamakee",17.99,0.884
"137","Allamakee",38.96,0.884
"138","Allamakee",93,0.884
"139","Allamakee",6,0.884
"140","Allamakee",5.16,0.884
"141","Allamakee",5.19,0.884
"142","Allamakee",56.25,0.884
"143","Allamakee",15,0.884
"144","Allamakee",14.95,0.884
"145","Allamakee",84.96,0.884
"146","Allamakee",15.3,0.884
"147","Allamakee",126,0.884
"148","Allamakee",14.04,0.884
"149","Allamakee",19.05,0.884
"150","Allamakee",229.56,0.884
"151","Allamakee",64.02,0.884
"152","Allamakee",4.48,0.884
"153","Allamakee",28.32,0.884
"154","Allamakee",79.5,0.884
"155","Allamakee",81,0.884
"156","Allamakee",18,0.884
"157","Allamakee",4.95,0.884
"158","Allamakee",26.88,0.884
"159","Allamakee",143.52,0.884
"160","Allamakee",14.94,0.884
"161","Allamakee",60.75,0.884
"162","Allamakee",61.2,0.884
"163","Allamakee",15.75,0.884
"164","Allamakee",224.94,0.884
"165","Allamakee",92.7,0.884
"166","Allamakee",139.5,0.884
"167","Allamakee",129.12,0.884
"168","Allamakee",58.5,0.884
"169","Allamakee",43.48,0.884
"170","Allamakee",44.96,0.884
"171","Allamakee",11.24,0.884
"172","Allamakee",49.5,0.884
"173","Allamakee",19.92,0.884
"174","Allamakee",97.56,0.884
